UID,SITE,FID_fishnet_lap_201807_site04,TotalFishnetArea_1,Area_ha_drone,Area_ha_CONABIO,Area_ha_GMW,Area_ha_dCONABIO,Area_ha_dGMW,Area_ha_union_dCONABIO,Area_ha_union_dGMW
33,psc_201805_site01,7.000,1.000,0.269,0.377,0.512,0.263,0.267,0.382713878,0.514647518
34,psc_201805_site01,8.000,1.000,0.937,0.981,0.999,0.929,0.937,0.989199515,0.999405428
35,psc_201805_site01,9.000,0.994,0.055,0.141,0.266,0.050,0.051,0.145185653,0.270206155
36,psc_201805_site01,12.000,1.000,0.514,0.727,0.809,0.503,0.509,0.73748072,0.813830547
37,psc_201805_site01,13.000,1.000,0.877,0.847,0.988,0.833,0.877,0.89118695,0.988418377
38,psc_201805_site01,14.000,1.000,0.063,0.037,0.237,0.026,0.058,0.074372625,0.241636979
39,psc_201805_site01,15.000,0.251,0.022,0.033,0.071,0.018,0.022,0.036335095,0.070924379
40,psc_201805_site01,17.000,1.000,0.166,0.159,0.460,0.067,0.107,0.257979238,0.518588435
41,psc_201805_site01,18.000,1.000,0.416,0.311,0.549,0.304,0.402,0.423347585,0.563707367
42,psc_201805_site01,22.000,0.358,0.139,0.171,0.198,0.139,0.139,0.171417046,0.197861561
43,psc_201805_site01,23.000,0.454,0.376,0.328,0.434,0.307,0.373,0.39736178,0.437419177
44,psc_201805_site01,2.000,0.639,0.056,0.000,0.034,0.000,0.002,0.055828316,0.087493759
45,psc_201805_site01,6.000,0.553,0.000,0.000,0.025,0.000,0.000,0,0.025471782
46,psc_201805_site01,10.000,0.063,0.000,0.000,0.020,0.000,0.000,0,0.020165145
47,psc_201805_site01,11.000,0.869,0.000,0.000,0.020,0.000,0.000,0,0.019900566
48,psc_201805_site01,16.000,0.704,0.016,0.000,0.001,0.000,0.000,0.01613726,0.016894109
49,psc_201805_site01,19.000,1.000,0.000,0.000,0.008,0.000,0.000,0,0.007728255
50,psc_201805_site01,20.000,0.413,0.000,0.000,0.002,0.000,0.000,0,0.002164826
51,psc_201805_site01,24.000,0.445,0.016,0.000,0.000,0.000,0.000,0.016313388,0.0165024
52,psc_201805_site08,7.000,0.915,0.106,0.070,0.264,0.066,0.106,0.110246685,0.2643395
53,psc_201805_site08,8.000,0.787,0.169,0.189,0.436,0.141,0.169,0.217195771,0.435901
54,psc_201805_site08,9.000,0.511,0.253,0.245,0.399,0.226,0.249,0.271700449,0.402090699
55,psc_201805_site08,16.000,0.341,0.010,0.004,0.014,0.004,0.008,0.009923898,0.015880687
56,psc_201805_site08,17.000,0.976,0.393,0.344,0.651,0.321,0.390,0.415995556,0.653822151
57,psc_201805_site08,18.000,1.000,0.271,0.326,0.812,0.205,0.271,0.391433184,0.811505412
58,psc_201805_site08,19.000,1.000,1.000,0.999,1.000,0.999,1.000,0.999930817,1
59,psc_201805_site08,20.000,1.000,0.870,0.917,0.968,0.869,0.870,0.917372775,0.967789029
60,psc_201805_site08,21.000,0.998,0.082,0.094,0.216,0.077,0.079,0.099306784,0.218159848
61,psc_201805_site08,28.000,0.893,0.258,0.277,0.439,0.222,0.258,0.313739696,0.438782519
62,psc_201805_site08,29.000,1.000,0.933,1.000,1.000,0.933,0.933,1,1
63,psc_201805_site08,30.000,1.000,0.790,0.799,1.000,0.718,0.790,0.871738317,1
64,psc_201805_site08,31.000,1.000,1.000,1.000,1.000,1.000,1.000,1,1
65,psc_201805_site08,32.000,1.000,0.571,0.588,0.865,0.560,0.571,0.598397934,0.865185092
66,psc_201805_site08,40.000,0.696,0.156,0.152,0.216,0.123,0.152,0.185872128,0.220966686
67,psc_201805_site08,41.000,1.000,0.966,0.984,1.000,0.961,0.966,0.988995631,1
68,psc_201805_site08,42.000,1.000,0.991,1.000,1.000,0.991,0.991,1,1
69,psc_201805_site08,43.000,1.000,0.979,1.000,1.000,0.979,0.979,1,1
70,psc_201805_site08,44.000,1.000,0.489,0.527,0.745,0.483,0.489,0.532079863,0.744910187
71,psc_201805_site08,53.000,0.999,0.495,0.553,0.752,0.459,0.488,0.589642449,0.759363362
72,psc_201805_site08,54.000,1.000,0.991,1.000,1.000,0.991,0.991,1,1
73,psc_201805_site08,55.000,1.000,0.928,1.000,1.000,0.928,0.928,1,1
74,psc_201805_site08,56.000,1.000,0.196,0.209,0.666,0.179,0.196,0.226263402,0.666457313
75,psc_201805_site08,62.000,0.909,0.135,0.136,0.278,0.093,0.127,0.177060591,0.285100095
76,psc_201805_site08,63.000,0.682,0.142,0.094,0.282,0.066,0.140,0.169062136,0.284077402
77,psc_201805_site08,65.000,0.999,0.355,0.480,0.665,0.343,0.354,0.49165398,0.665656583
78,psc_201805_site08,66.000,1.000,0.979,1.000,1.000,0.979,0.979,1,1
79,psc_201805_site08,67.000,1.000,0.999,1.000,1.000,0.999,0.999,1,1
80,psc_201805_site08,68.000,1.000,0.916,0.918,0.997,0.908,0.916,0.926315272,0.996755021
81,psc_201805_site08,69.000,0.933,0.012,0.038,0.249,0.011,0.012,0.039258729,0.248900715
82,psc_201805_site08,74.000,1.000,0.621,0.734,0.944,0.616,0.621,0.739212397,0.943685041
83,psc_201805_site08,75.000,1.000,0.265,0.222,0.522,0.129,0.255,0.358508748,0.531365575
84,psc_201805_site08,76.000,0.988,0.101,0.156,0.365,0.090,0.101,0.166435287,0.365031049
85,psc_201805_site08,77.000,1.000,0.735,0.915,1.000,0.731,0.735,0.919155012,0.999569309
86,psc_201805_site08,78.000,1.000,0.918,1.000,1.000,0.918,0.918,1,1
87,psc_201805_site08,79.000,1.000,0.999,1.000,1.000,0.999,0.999,1,1
88,psc_201805_site08,80.000,1.000,0.836,0.882,1.000,0.835,0.836,0.88246083,1
89,psc_201805_site08,81.000,0.936,0.000,0.003,0.274,0.000,0.000,0.002577909,0.274155739
90,psc_201805_site08,85.000,0.864,0.195,0.358,0.456,0.161,0.175,0.392390484,0.475750662
91,psc_201805_site08,86.000,1.000,0.884,0.981,1.000,0.873,0.884,0.991858996,1
92,psc_201805_site08,87.000,1.000,0.779,0.755,0.991,0.681,0.779,0.853233369,0.990592322
93,psc_201805_site08,88.000,1.000,0.790,0.855,0.934,0.779,0.787,0.864802343,0.935834819
94,psc_201805_site08,89.000,1.000,0.995,1.000,1.000,0.995,0.995,1,1
95,psc_201805_site08,90.000,1.000,0.999,1.000,1.000,0.999,0.999,1,1
96,psc_201805_site08,91.000,1.000,1.000,1.000,1.000,1.000,1.000,1,1
97,psc_201805_site08,92.000,1.000,0.644,0.710,0.966,0.644,0.644,0.709803333,0.965953622
