Site,FID_Fishnet,mangrove_area,nonmangrove_area,total_area,gridcode
lap_2018-07_site01,162606,555.7937088,0,555.7937088,108
lap_2018-07_site01,162607,545.5390094,10.25261482,555.7916242,108
lap_2018-07_site01,162608,538.7379729,17.05441084,555.7923837,108
lap_2018-07_site01,162609,543.2007455,12.59529448,555.79604,108
lap_2018-07_site01,162610,533.8405149,21.95245139,555.7929663,108
lap_2018-07_site01,162611,506.711823,49.08103066,555.7928536,108
lap_2018-07_site01,162612,553.6999675,2.093226667,555.7931942,108
lap_2018-07_site01,162613,555.7921279,0,555.7921279,108
lap_2018-07_site01,162614,555.7956783,0,555.7956783,108
lap_2018-07_site01,162615,555.7923164,0,555.7923164,108
lap_2018-07_site01,162616,512.7183567,43.07458309,555.7929398,108
lap_2018-07_site01,162617,496.6091345,59.18349237,555.7926269,108
lap_2018-07_site01,162618,329.9401037,225.8558931,555.7959968,108
lap_2018-07_site01,162619,16.57540046,539.2163886,555.791789,108
lap_2018-07_site01,162620,0,555.7930263,555.7930263,108
lap_2018-07_site01,162621,0,555.7912384,555.7912384,108
lap_2018-07_site01,162622,0,555.7932149,555.7932149,108
lap_2018-07_site01,162623,0,555.7967653,555.7967653,107
lap_2018-07_site01,162624,0,555.7910909,555.7910909,105
lap_2018-07_site01,162625,0,555.7932339,555.7932339,103
lap_2018-07_site01,162626,0,515.1670159,515.1670159,101
