ID,Area_total,Area_overlap,Area_CONABIO,Area_GMW_calculated,Area_not_overlapped,Percent_overlap,Area_JCONABIO,Area_JGMW,Difference_JArea,%conabio_total,%GMW_total
1069,1.916760646,0,0,1.916760646,1.916760646,0,0,1.916760646,-1.916760646,0,1
1070,0.56235452,0,0,0.56235452,0.56235452,0,0,0.56235452,-0.56235452,0,1
1071,0.585758777,0,0,0.585758777,0.585758777,0,0,0.585758777,-0.585758777,0,1
1072,1.694033405,0,0,1.694033405,1.694033405,0,0,1.694033405,-1.694033405,0,1
1074,0.961746012,0,0,0.961746012,0.961746012,0,0,0.961746012,-0.961746012,0,1
1075,1.260717251,0,0,1.260717251,1.260717251,0,0,1.260717251,-1.260717251,0,1
1077,7.985426412,0,0,7.985426412,7.985426412,0,0,7.985426412,-7.985426412,0,1
1078,10.95870728,0,0,10.95870728,10.95870728,0,0,10.95870728,-10.95870728,0,1
1079,2.765136081,0,0,2.765136081,2.765136081,0,0,2.765136081,-2.765136081,0,1
1080,0.439769863,0,0,0.439769863,0.439769863,0,0,0.439769863,-0.439769863,0,1
1081,5.578352914,0,0,5.578352914,5.578352914,0,0,5.578352914,-5.578352914,0,1
1082,0.288327325,0,0,0.288327325,0.288327325,0,0,0.288327325,-0.288327325,0,1
1083,1.17886784,0,0,1.17886784,1.17886784,0,0,1.17886784,-1.17886784,0,1
1099,2.561683043,0,0,2.561683043,2.561683043,0,0,2.561683043,-2.561683043,0,1
1100,4.152294962,0,0,4.152294962,4.152294962,0,0,4.152294962,-4.152294962,0,1
1103,0.760880201,0,0,0.760880201,0.760880201,0,0,0.760880201,-0.760880201,0,1
1104,0.330623895,0,0,0.330623895,0.330623895,0,0,0.330623895,-0.330623895,0,1
1105,1.682455671,0,0,1.682455671,1.682455671,0,0,1.682455671,-1.682455671,0,1
1106,8.615047503,0,0,8.615047503,8.615047503,0,0,8.615047503,-8.615047503,0,1
1108,1.472493954,0,0,1.472493954,1.472493954,0,0,1.472493954,-1.472493954,0,1
1109,0.544889624,0,0,0.544889624,0.544889624,0,0,0.544889624,-0.544889624,0,1
1110,1.735964254,0,0,1.735964254,1.735964254,0,0,1.735964254,-1.735964254,0,1
1111,5.416331943,0,0,5.416331943,5.416331943,0,0,5.416331943,-5.416331943,0,1
1115,0.927576252,0,0,0.927576252,0.927576252,0,0,0.927576252,-0.927576252,0,1
1121,2.400501182,0,0,2.400501182,2.400501182,0,0,2.400501182,-2.400501182,0,1
1139,0.032570992,0,0,0.032570992,0.032570992,0,0,0.032570992,-0.032570992,0,1
1140,0.113700913,0,0,0.113700913,0.113700913,0,0,0.113700913,-0.113700913,0,1
1151,0.987362063,0,0,0.987362063,0.987362063,0,0,0.987362063,-0.987362063,0,1
1156,1.090752447,0,0,1.090752447,1.090752447,0,0,1.090752447,-1.090752447,0,1
1157,0.205748752,0,0,0.205748752,0.205748752,0,0,0.205748752,-0.205748752,0,1
1162,2.126823959,0,0,2.126823959,2.126823959,0,0,2.126823959,-2.126823959,0,1
1163,0.022129028,0,0,0.022129028,0.022129028,0,0,0.022129028,-0.022129028,0,1
1164,0.018242869,0,0,0.018242869,0.018242869,0,0,0.018242869,-0.018242869,0,1
1169,4.599849444,0,0,4.599849444,4.599849444,0,0,4.599849444,-4.599849444,0,1
1170,0.041799736,0,0,0.041799736,0.041799736,0,0,0.041799736,-0.041799736,0,1
1200,0.326619304,0,0,0.326619304,0.326619304,0,0,0.326619304,-0.326619304,0,1
1201,0.073602643,0,0,0.073602643,0.073602643,0,0,0.073602643,-0.073602643,0,1
1203,1.632818878,0,0,1.632818878,1.632818878,0,0,1.632818878,-1.632818878,0,1
1206,1.795624851,0,0,1.795624851,1.795624851,0,0,1.795624851,-1.795624851,0,1
1215,6.874804156,0,0,6.874804156,6.874804156,0,0,6.874804156,-6.874804156,0,1
1216,0.055256728,0,0,0.055256728,0.055256728,0,0,0.055256728,-0.055256728,0,1
1230,0.045874638,0,0,0.045874638,0.045874638,0,0,0.045874638,-0.045874638,0,1
1231,0.653655277,0,0,0.653655277,0.653655277,0,0,0.653655277,-0.653655277,0,1
1247,0.628737712,0,0,0.628737712,0.628737712,0,0,0.628737712,-0.628737712,0,1
1252,2.271591572,0,0,2.271591572,2.271591572,0,0,2.271591572,-2.271591572,0,1
1257,3.282835294,0,0,3.282835294,3.282835294,0,0,3.282835294,-3.282835294,0,1
1258,6.07E-05,0,0,6.07E-05,6.07E-05,0,0,6.07E-05,-6.07E-05,0,1
1266,1.376755222,0,0,1.376755222,1.376755222,0,0,1.376755222,-1.376755222,0,1
1267,0.450552817,0,0,0.450552817,0.450552817,0,0,0.450552817,-0.450552817,0,1
1268,0.706690046,0,0,0.706690046,0.706690046,0,0,0.706690046,-0.706690046,0,1
1275,1.180843658,0,0,1.180843658,1.180843658,0,0,1.180843658,-1.180843658,0,1
1277,2.463434745,0,0,2.463434745,2.463434745,0,0,2.463434745,-2.463434745,0,1
1282,0.707632857,0,0,0.707632857,0.707632857,0,0,0.707632857,-0.707632857,0,1
1299,1.483372598,0,0,1.483372598,1.483372598,0,0,1.483372598,-1.483372598,0,1
1309,3.446549988,0,0,3.446549988,3.446549988,0,0,3.446549988,-3.446549988,0,1
1315,11.17287567,0,0,11.17287567,11.17287567,0,0,11.17287567,-11.17287567,0,1
1320,0.540023016,0,0,0.540023016,0.540023016,0,0,0.540023016,-0.540023016,0,1
1323,0.092955533,0,0,0.092955533,0.092955533,0,0,0.092955533,-0.092955533,0,1
1324,4.705352745,0,0,4.705352745,4.705352745,0,0,4.705352745,-4.705352745,0,1
